ticker,price,52w_high,52w_low,ex_dividend_date,dividend_payment_date,last_dividend_date,last_dividend_per_share,currency,exchange
RGA,217.96,229.21,159.25,2026-02-17,2026-03-03,2025-11-10,0.93,USD,NYQ
SDHY,16.825,17.18,15.01,2026-02-12,,2025-12-26,0.108,USD,NYQ
SFBC,43.9579,52.13,42.75,2026-02-09,2026-02-23,2026-02-09,0.21,USD,NCM
SIMO,130.0,138.0,37.21,2026-02-11,2026-02-26,2025-11-14,0.5,USD,NMS
SIRI,21.385,27.41,18.69,2026-02-11,2026-02-27,2025-11-05,0.27,USD,NMS
SLB,50.2015,51.67,31.11,2026-02-11,2026-04-02,2025-12-03,0.285,USD,NYQ
SO,90.885,100.84,83.09,2026-02-17,2026-03-06,2025-11-17,0.74,USD,NYQ
SPB,74.885,80.28,49.99,2026-02-17,2026-03-10,2025-11-24,0.47,USD,NYQ
SPE,15.06,15.99,12.72,2026-02-17,2018-12-31,2026-01-20,0.109,USD,NYQ
SRV,42.64,47.96,34.24,2026-02-17,2019-02-28,2026-01-16,0.45,USD,NYQ
ST,36.45,36.79,17.32,2026-02-11,2026-02-25,2025-11-12,0.12,USD,NYQ
STBA,44.03,44.77,30.84,2026-02-12,2026-02-26,2025-11-13,0.36,USD,NMS
SW,45.595,55.485,32.729,2026-02-17,2026-03-18,2025-08-15,0.431,USD,NYQ
SWX,83.77,86.75,64.69,2026-02-17,2026-03-02,2025-11-17,0.62,USD,NYQ
SXC,8.265,10.08,6.24,2026-02-17,2026-03-02,2025-11-17,0.12,USD,NYQ
TBLD,21.935,22.05,15.942,2026-02-12,2023-03-20,2025-12-30,0.104,USD,NGM
TEN,27.57,27.79,13.4,2026-02-11,2026-02-19,2025-07-14,0.6,USD,NYQ
TGT,113.31,132.47,83.44,2026-02-11,2026-03-01,2025-11-12,1.14,USD,NYQ
TLF,3.13,5.48,2.56,2026-02-25,2026-02-24,2025-02-19,1.5,USD,NCM
TRI,91.24,218.42,85.02,2026-02-17,2026-03-10,2025-11-18,0.595,USD,NMS
TSI,4.74,5.06,4.59,2026-02-12,2019-01-11,2026-01-15,0.022,USD,NYQ
UG,6.76,11.08,5.58,2026-02-09,2026-02-17,2026-02-09,0.25,USD,NGM
UMH,16.08,19.14,13.95,2026-02-17,2026-03-16,2025-11-17,0.225,USD,NYQ
UPS,118.605,123.7,82.0,2026-02-17,2026-03-05,2025-11-17,1.64,USD,NYQ
URI,874.885,1021.47,525.91,2026-02-11,2026-02-25,2025-11-12,1.79,USD,NYQ
USCB,19.64,20.785,15.39,2026-02-17,2026-03-05,2025-11-14,0.1,USD,NGM
UTL,51.0,59.99,44.61,2026-02-12,2026-02-27,2025-11-13,0.45,USD,NYQ
UVSP,34.92,36.2,22.83,2026-02-11,2026-02-25,2025-11-05,0.22,USD,NMS
VBF,15.405,15.98,14.33,2026-02-17,2019-02-28,2026-01-15,0.07,USD,NYQ
VCV,11.27,11.38,9.51,2026-02-17,2019-02-28,2026-01-15,0.065,USD,NYQ
VGI,7.9701,8.09,7.0,2026-02-12,2019-02-19,2026-01-12,0.08,USD,NYQ
VGM,10.57,10.5899,9.28,2026-02-17,2019-02-28,2026-01-15,0.065,USD,NYQ
VKI,9.185,9.27,7.89,2026-02-17,2019-02-28,2026-01-15,0.056,USD,NYQ
VKQ,9.905,10.18,8.86,2026-02-17,2019-02-28,2026-01-15,0.063,USD,NYQ
VLT,11.05,11.43,9.12,2026-02-17,2019-02-28,2026-01-15,0.094,USD,NYQ
VMO,9.935,9.9463,8.81,2026-02-17,2019-02-28,2026-01-15,0.063,USD,NYQ
VPV,10.86,10.93,9.5,2026-02-17,2019-02-28,2026-01-15,0.067,USD,NYQ
VTN,11.96,11.96,9.49,2026-02-17,2019-02-28,2026-01-15,0.069,USD,NYQ
VVR,3.295,4.21,3.21,2026-02-17,2019-02-28,2026-01-15,0.038,USD,NYQ
WBS,73.07,73.76,39.43,2026-02-09,2026-02-19,2026-02-09,0.4,USD,NYQ
WINA,436.035,527.37,295.79,2026-02-11,2026-03-02,2025-11-12,10.96,USD,NGM
WLFC,202.905,211.0,114.01,2026-02-11,2026-02-20,2025-11-17,0.4,USD,NGM
WMK,71.84,90.23,61.53,2026-02-17,2026-03-03,2025-11-10,0.34,USD,NYQ
WNEB,13.985,14.52,7.63,2026-02-11,2026-02-25,2025-11-12,0.07,USD,NMS
WT,16.315,17.09,7.47,2026-02-11,2026-02-25,2025-11-12,0.03,USD,NYQ
WTBA,25.825,26.6,17.31,2026-02-11,2026-02-25,2025-11-05,0.25,USD,NMS
WTRG,37.84,42.37,34.58,2026-02-09,2026-03-02,2026-02-09,0.343,USD,NYQ
XFLT,4.055,6.6,4.04,2026-02-17,2019-03-01,2026-01-15,0.06,USD,NYQ
ZION,64.14,66.18,39.32,2026-02-12,2026-02-19,2025-11-13,0.45,USD,NMS
ZTR,6.7351,6.75,5.22,,2019-02-19,2026-01-12,0.05,USD,NYQ
