ticker,price,52w_high,52w_low,ex_dividend_date,dividend_payment_date,last_dividend_date,last_dividend_per_share,currency,exchange
CLM,7.995,8.848425,6.062992,2026-02-17,,2026-01-15,0.122,USD,NYQ
SXC,7.98,10.08,6.24,2026-02-17,2026-03-02,2025-11-17,0.12,USD,NYQ
NHS,7.6643,7.94,6.62,2026-02-17,2019-02-28,2026-01-15,0.091,USD,NYQ
EXG,9.6301,9.78,6.74,2026-02-17,2019-01-31,2026-01-15,0.066,USD,NYQ
ETW,9.4197,9.6,6.93,2026-02-17,2019-01-31,2026-01-15,0.066,USD,NYQ
NML,9.89,9.94,7.1,2026-02-17,2019-03-29,2026-01-15,0.058,USD,NYQ
DMA,8.67,9.15,7.17,2026-02-17,,2025-08-18,0.083,USD,NYQ
CXH,8.15,8.21,7.34,2026-02-17,2019-02-28,2026-01-20,0.034,USD,NYQ
ETJ,8.724,9.31,7.4,2026-02-17,2019-01-31,2026-01-15,0.065,USD,NYQ
VKI,9.29,9.345,7.89,2026-02-17,2019-02-28,2026-01-15,0.056,USD,NYQ
VMO,9.97,9.98,8.81,2026-02-17,2019-02-28,2026-01-15,0.063,USD,NYQ
IQI,10.38,10.42,8.86,2026-02-17,2019-02-28,2026-01-15,0.063,USD,NYQ
VKQ,9.945,10.18,8.86,2026-02-17,2019-02-28,2026-01-15,0.063,USD,NYQ
VLT,11.08,11.43,9.12,2026-02-17,2019-02-28,2026-01-15,0.094,USD,NYQ
EIM,9.985,10.54,9.27,2026-02-17,2019-01-31,2026-01-15,0.051,USD,ASE
VGM,10.62,10.66,9.28,2026-02-17,2019-02-28,2026-01-15,0.065,USD,NYQ
VTN,12.0601,12.09,9.49,2026-02-17,2019-02-28,2026-01-15,0.069,USD,NYQ
VPV,11.07,11.3148,9.5,2026-02-17,2019-02-28,2026-01-15,0.067,USD,NYQ
VCV,11.29,11.38,9.51,2026-02-17,2019-02-28,2026-01-15,0.065,USD,NYQ
NBXG,13.3895,15.655,10.05,2026-02-17,,2026-01-15,0.12,USD,NYQ
EVG,11.14,11.45,10.25,2026-02-17,2019-01-31,2026-01-15,0.075,USD,NYQ
EFR,11.085,13.13,10.4,2026-02-17,2019-01-10,2026-01-15,0.077,USD,NYQ
EFT,11.3499,13.35,10.44,2026-02-17,2019-01-10,2025-12-30,0.086,USD,NYQ
ETV,14.6666,14.83,10.64,2026-02-17,2019-01-31,2026-01-15,0.099,USD,NYQ
DTF,11.555,11.6,10.95,2026-02-17,2019-03-29,2026-01-15,0.033,USD,NYQ
IIM,12.85,12.87,10.96,2026-02-17,2019-02-28,2026-01-15,0.077,USD,NYQ
ETB,15.37,15.6,11.03,2026-02-17,2019-01-31,2026-01-15,0.106,USD,NYQ
ETY,14.9642,16.03,11.82,2026-02-17,2019-01-31,2026-01-15,0.099,USD,NYQ
SPE,15.05,15.99,12.72,2026-02-17,2018-12-31,2026-01-20,0.109,USD,NYQ
BOTJ,20.4,21.49,12.75,2026-02-17,2026-03-06,2025-11-21,0.1,USD,NCM
ARR,18.37,19.31,13.18,2026-02-17,2026-02-27,2026-01-15,0.24,USD,NYQ
UMH,16.11,19.14,13.95,2026-02-17,2026-03-16,2025-11-17,0.225,USD,NYQ
VBF,15.48,15.98,14.33,2026-02-17,2019-02-28,2026-01-15,0.07,USD,NYQ
ETG,23.125,23.67,15.04,2026-02-17,2019-01-31,2026-01-15,0.129,USD,NYQ
USCB,19.635,20.785,15.39,2026-02-17,2026-03-05,2025-11-14,0.1,USD,NGM
EOT,17.6,17.98,15.41,2026-02-17,2019-01-31,2026-01-15,0.068,USD,NYQ
EOI,20.455,21.58,15.5,2026-02-17,2019-01-31,2026-01-15,0.134,USD,NYQ
EOS,22.006,24.58,17.56,2026-02-17,2019-01-31,2026-01-15,0.152,USD,NYQ
ETX,18.83,20.0,17.63,2026-02-17,2019-01-31,2026-01-15,0.078,USD,NYQ
MUR,33.74,35.19,18.95,2026-02-17,2026-03-02,2025-11-17,0.325,USD,NYQ
EVT,26.4299,26.65,19.2,2026-02-17,2019-01-31,2026-01-15,0.165,USD,NYQ
ETO,29.95,31.11,20.05,2026-02-17,2019-01-31,2026-01-15,0.173,USD,NYQ
EQNR,28.13,28.73,21.41,2026-02-17,2026-05-27,2025-11-14,0.37,USD,NYQ
HIW,23.05,32.76,21.56,2026-02-17,2026-03-10,2025-11-17,0.5,USD,NYQ
MTG,26.69,29.97,21.94,2026-02-17,2026-03-06,2025-11-06,0.15,USD,NYQ
KMPR,32.25,69.83,30.05,2026-02-17,2026-03-03,2025-11-17,0.32,USD,NYQ
PECO,38.3,38.67,32.4,2026-02-17,2026-03-03,2026-01-15,0.108,USD,NMS
SW,51.62,55.485,32.729,2026-02-17,2026-03-18,2025-08-15,0.431,USD,NYQ
BKR,61.15,62.27,33.6,2026-02-17,2026-02-27,2025-11-04,0.23,USD,NMS
SRV,43.7108,47.96,34.24,2026-02-17,2019-02-28,2026-01-16,0.45,USD,NYQ
NXG,54.32,54.8799,35.22,2026-02-17,,2026-01-16,0.54,USD,NYQ
OMF,56.97,71.93,38.0,2026-02-17,2026-02-23,2025-11-10,1.05,USD,NYQ
JEF,53.835,72.2,39.28,2026-02-17,2026-02-27,2025-11-17,0.4,USD,NYQ
ENB,53.905,54.195,39.73,2026-02-17,2026-03-01,2025-08-15,0.683,USD,NYQ
ADM,69.54,70.09,40.98,2026-02-17,2026-03-10,2025-11-19,0.51,USD,NYQ
FTS,56.7204,57.0,42.95,2026-02-17,2026-03-01,2025-08-19,0.445,USD,NYQ
EQT,58.49,62.23,43.57,2026-02-17,2026-03-02,2025-11-05,0.165,USD,NYQ
MSEX,55.55,67.09,44.17,2026-02-17,2026-03-02,2025-11-17,0.36,USD,NMS
MC,65.7,78.57,47.0,2026-02-17,2026-03-26,2025-11-10,0.65,USD,NYQ
SPB,75.91,80.28,49.99,2026-02-17,2026-03-10,2025-11-24,0.47,USD,NYQ
BKH,74.05,75.87,54.92,2026-02-17,2026-03-01,2025-11-17,0.676,USD,NYQ
WMK,73.995,90.23,61.53,2026-02-17,2026-03-03,2025-11-10,0.34,USD,NYQ
SWX,87.68,87.885,64.69,2026-02-17,2026-03-02,2025-11-17,0.62,USD,NYQ
CMS,76.595,76.775,67.71,2026-02-17,2026-02-27,2025-11-07,0.543,USD,NYQ
BG,122.92,124.78,68.33,2026-02-17,2026-03-03,2025-11-17,0.7,USD,NYQ
OSK,171.245,180.49,76.82,2026-02-17,2026-03-03,2025-11-17,0.51,USD,NYQ
UPS,119.22,123.7,82.0,2026-02-17,2026-03-05,2025-11-17,1.64,USD,NYQ
SO,94.47,100.84,83.09,2026-02-17,2026-03-06,2025-11-17,0.74,USD,NYQ
TRI,86.895,218.42,84.27,2026-02-17,2026-03-10,2025-11-18,0.595,USD,NMS
NRP,126.0,128.6,86.83,2026-02-17,2026-02-24,2025-11-18,0.75,USD,NYQ
NATH,100.82,118.5,88.0,2026-02-17,2026-02-27,2025-11-24,3.0,USD,NMS
PRU,104.49,119.76,90.38,2026-02-17,2026-03-12,2025-11-18,1.35,USD,NYQ
CVX,183.99,186.52,132.04,2026-02-17,2026-03-10,2025-11-18,1.71,USD,NYQ
HSY,222.145,234.87,150.04,2026-02-17,2026-03-16,2025-11-17,1.37,USD,NYQ
RGA,220.315,229.21,159.25,2026-02-17,2026-03-03,2025-11-10,0.93,USD,NYQ
AIZ,217.99,246.31,174.97,2026-02-17,2026-03-30,2025-12-01,0.88,USD,NYQ
ALX,235.665,260.84,189.05,2026-02-17,2026-02-27,2025-11-10,4.5,USD,NYQ
CSL,409.215,435.92,293.43,2026-02-17,2026-03-02,2025-11-14,1.1,USD,NYQ
EDF,5.0781,5.28,4.14,2026-02-12,,2026-02-12,0.06,USD,NYQ
PHK,4.91,5.04,4.18,2026-02-12,2019-02-01,2026-02-12,0.048,USD,NYQ
RCS,5.7518,8.0,5.25,2026-02-12,,2026-02-12,0.04,USD,NYQ
DSM,6.23,6.3,5.28,2026-02-12,2019-02-28,2026-02-12,0.026,USD,NYQ
LEO,6.475,6.54,5.55,2026-02-12,2019-02-28,2026-02-12,0.026,USD,NYQ
PCM,6.07,6.77,5.88,2026-02-12,2019-02-01,2026-02-12,0.064,USD,NYQ
EAD,6.855,7.18,5.89,2026-02-12,2019-03-01,2026-02-12,0.053,USD,NYQ
PFN,7.375,7.67,6.26,2026-02-12,2019-02-01,2026-02-12,0.072,USD,NYQ
PNI,7.075,7.47,6.43,2026-02-12,2019-02-01,2026-02-12,0.03,USD,NYQ
PGP,9.33,9.41,6.56,2026-02-12,2019-02-01,2026-02-12,0.069,USD,NYQ
VGI,7.8901,8.09,7.0,2026-02-12,2019-02-19,2026-02-12,0.08,USD,NYQ
PML,7.84,8.67,7.1,2026-02-12,2019-02-01,2026-02-12,0.04,USD,NYQ
PFL,8.3884,8.7,7.11,2026-02-12,2019-02-01,2026-02-12,0.081,USD,NYQ
PCQ,9.1,9.36,8.13,2026-02-12,2019-02-01,2026-02-12,0.036,USD,NYQ
ERC,9.395,9.78,8.44,2026-02-12,2019-03-01,2026-02-12,0.072,USD,ASE
NFBK,13.59,14.05,9.4,2026-02-12,2026-02-25,2026-02-12,0.13,USD,NMS
ERH,12.3841,13.07,9.98,2026-02-12,2019-03-01,2026-02-12,0.085,USD,ASE
NCZ,14.905,14.98,10.23,2026-02-12,2019-03-01,2026-02-12,0.12,USD,NYQ
PCN,12.775,13.81,11.3,2026-02-12,2019-02-01,2026-02-12,0.113,USD,NYQ
GHY,12.89,13.74,11.31,2026-02-12,2019-02-28,2026-02-12,0.105,USD,NYQ
PDT,13.482,13.5,11.41,2026-02-12,2019-02-28,2026-02-12,0.083,USD,NYQ
NCV,16.5299,16.7,11.51,2026-02-12,2019-03-01,2026-02-12,0.136,USD,NYQ
PTY,13.0154,14.78,11.7,2026-02-12,2019-02-01,2026-02-12,0.119,USD,NYQ
PDO,14.045,14.25,11.81,2026-02-12,,2026-02-12,0.128,USD,NYQ
ISD,14.63,14.79,11.82,2026-02-12,2019-02-28,2026-02-12,0.105,USD,NYQ
PROV,16.26,16.64,12.98,2026-02-12,2026-03-05,2026-02-12,0.14,USD,NMS
HPS,14.75,15.68,13.08,2026-02-12,2019-02-28,2026-02-12,0.11,USD,NYQ
PAXS,15.825,16.56,13.63,2026-02-12,,2026-02-12,0.149,USD,NYQ
HPF,16.14,17.57,14.56,2026-02-12,2019-02-28,2026-02-12,0.124,USD,NYQ
HPI,16.2499,17.68,14.61,2026-02-12,2019-02-28,2026-02-12,0.124,USD,NYQ
SDHY,16.745,17.18,15.01,2026-02-12,,2026-02-12,0.108,USD,NYQ
TBLD,22.0788,22.1,15.942,2026-02-12,2023-03-20,2026-02-12,0.104,USD,NGM
PDI,18.645,20.17,16.0,2026-02-12,2019-02-01,2026-02-12,0.221,USD,NYQ
AIO,22.71,25.47,16.177,2026-02-12,2021-02-01,2026-02-12,0.15,USD,NYQ
ACV,26.97,29.042,17.0,2026-02-12,2018-03-01,2026-02-12,0.18,USD,NYQ
PDX,20.08,25.99,18.47,2026-02-12,,2026-02-12,0.133,USD,NYQ
HTD,25.535,25.65,20.31,2026-02-12,2019-02-28,2026-02-12,0.158,USD,NYQ
LARK,27.815,29.561905,21.314285,2026-02-12,2026-02-26,2026-02-12,0.21,USD,NGM
STBA,43.55,44.8,30.84,2026-02-12,2026-02-26,2026-02-12,0.36,USD,NMS
ZION,61.115,66.18,39.32,2026-02-12,2026-02-19,2026-02-12,0.45,USD,NMS
UTL,53.1,59.99,44.61,2026-02-12,2026-02-27,2026-02-12,0.475,USD,NYQ
BCBP,8.49,10.46,7.31,2026-02-11,2026-02-26,2026-02-11,0.08,USD,NGM
WT,16.255,17.09,7.47,2026-02-11,2026-02-25,2026-02-11,0.03,USD,NYQ
WNEB,14.065,14.52,7.63,2026-02-11,2026-02-25,2026-02-11,0.07,USD,NMS
NOMD,12.895,20.81,11.04,2026-02-11,2026-02-26,2026-02-11,0.17,USD,NYQ
KINS,15.755,22.4,13.08,2026-02-11,2026-02-26,2026-02-11,0.05,USD,NCM
TEN,28.3,28.3,13.4,2026-02-11,2026-02-19,2025-07-14,0.6,USD,NYQ
JMSB,20.04,21.58,13.81,2026-02-11,2026-03-04,2026-02-11,0.09,USD,NCM
CBAN,20.43,21.46,13.99,2026-02-11,2026-02-25,2026-02-11,0.12,USD,NYQ
KVUE,18.75,25.17,14.02,2026-02-11,2026-02-25,2026-02-11,0.208,USD,NYQ
WTBA,25.63,26.6,17.31,2026-02-11,2026-02-25,2026-02-11,0.25,USD,NMS
ST,36.83,37.95,17.32,2026-02-11,2026-02-25,2026-02-11,0.12,USD,NYQ
SIRI,21.52,27.41,18.69,2026-02-11,2026-02-27,2026-02-11,0.27,USD,NMS
ETD,23.88,31.41,21.67,2026-02-11,2026-02-25,2026-02-11,0.39,USD,NYQ
AROW,34.84,36.44,22.72,2026-02-11,2026-02-25,2026-02-11,0.3,USD,NMS
UVSP,34.82,36.2,22.83,2026-02-11,2026-02-25,2026-02-11,0.22,USD,NMS
HOMB,29.31,30.83,24.22,2026-02-11,2026-03-04,2026-02-11,0.21,USD,NYQ
SLB,50.595,52.4,31.11,2026-02-11,2026-04-02,2026-02-11,0.295,USD,NYQ
NBN,120.3,126.26,78.17,2026-02-11,2026-02-25,2026-02-11,0.01,USD,NGM
TGT,115.665,131.7,83.44,2026-02-11,2026-03-01,2026-02-11,1.14,USD,NYQ
PCAR,126.8,131.88,84.65,2026-02-11,2026-03-04,2026-02-11,0.33,USD,NMS
WLFC,196.855,211.0,114.01,2026-02-11,2026-02-20,2026-02-11,0.4,USD,NGM
WINA,452.25,527.37,295.79,2026-02-11,2026-03-02,2026-02-11,0.96,USD,NGM
URI,870.31,1021.47,525.91,2026-02-11,2026-02-25,2026-02-11,1.97,USD,NYQ
UG,6.6762,11.08,5.58,2026-02-09,2026-02-17,2026-02-09,0.25,USD,NGM
MRBK,20.4175,21.025,11.16,2026-02-09,2026-02-17,2026-02-09,0.14,USD,NMS
DLX,26.24,28.6,13.61,2026-02-09,2026-02-23,2026-02-09,0.3,USD,NYQ
MNSB,22.5,23.44,15.0,2026-02-09,2026-02-16,2026-02-09,0.1,USD,NCM
LPG,33.28,33.49,16.66,2026-02-09,2026-02-24,2026-02-09,0.7,USD,NYQ
MATW,26.09,29.11,18.5,2026-02-09,2026-02-23,2026-02-09,0.255,USD,NMS
HAFC,26.935,30.2,19.25,2026-02-09,2026-02-25,2026-02-09,0.28,USD,NMS
HBT,29.115,29.88,19.46,2026-02-09,2026-02-17,2026-02-09,0.23,USD,NMS
BSRR,37.2075,38.57,22.42,2026-02-09,2026-02-17,2026-02-09,0.26,USD,NMS
CBNK,31.96,36.4,24.69,2026-02-09,2026-02-25,2026-02-09,0.12,USD,NMS
NMM,62.46,63.47,28.37,2026-02-09,2026-02-12,2025-08-11,0.05,USD,NYQ
PZZA,32.2921,55.74,30.16,2026-02-09,2026-02-20,2026-02-09,0.46,USD,NMS
LVS,57.59,70.45,30.18,2026-02-09,2026-02-18,2026-02-09,0.3,USD,NYQ
LAZ,52.05,58.75,31.97,2026-02-09,2026-02-20,2026-02-09,0.5,USD,NYQ
WTRG,39.54,42.37,34.85,2026-02-09,2026-03-02,2026-02-09,0.343,USD,NYQ
OHI,47.32,47.94,35.04,2026-02-09,2026-02-17,2026-02-09,0.67,USD,NYQ
WBS,71.025,73.87,39.43,2026-02-09,2026-02-19,2026-02-09,0.4,USD,NYQ
GLP,48.49,60.0,39.58,2026-02-09,2026-02-13,2026-02-09,0.76,USD,NYQ
HBCP,61.325,64.17,39.59,2026-02-09,2026-02-20,2026-02-09,0.31,USD,NMS
CWT,46.4,51.63,41.29,2026-02-09,2026-02-20,2026-02-09,0.335,USD,NYQ
SFBC,44.37,52.13,42.75,2026-02-09,2026-02-23,2026-02-09,0.21,USD,NCM
HTO,54.9,57.17,43.75,2026-02-09,2026-03-02,2026-02-09,0.44,USD,NMS
MPLX,56.8535,57.16,44.6,2026-02-09,2026-02-17,2026-02-09,1.077,USD,NYQ
HXL,89.795,93.14,45.28,2026-02-09,2026-02-17,2026-02-09,0.18,USD,NYQ
CQP,59.4,68.42,49.53,2026-02-09,2026-02-13,2026-02-09,0.83,USD,NYQ
ETR,105.34,105.69,75.57,2026-02-09,2026-03-02,2026-02-09,0.64,USD,NYQ
RBA,101.67,119.58,87.87,2026-02-09,2026-03-02,2025-05-29,0.29,USD,NYQ
BX,130.035,190.09,115.66,2026-02-09,2026-02-17,2026-02-09,1.49,USD,NYQ
AAPL,257.99,288.62,169.21,2026-02-09,2026-02-12,2026-02-09,0.26,USD,NMS
AMP,474.15,552.43,396.14,2026-02-09,2026-02-27,2026-02-09,1.6,USD,NYQ
GWW,1139.65,1218.63,893.99,2026-02-09,2026-03-01,2026-02-09,2.26,USD,NYQ
FMN,11.3271,11.38,10.11,2026-01-23,2019-02-01,2026-01-23,0.045,USD,NYQ
PFLT,8.715,11.46,8.4,2026-01-16,2026-03-02,2026-01-16,0.103,USD,NYQ
ZTR,6.885,6.89,5.22,,2019-02-19,2026-02-12,0.05,USD,NYQ
AGD,12.59,13.98,8.46,,2019-01-31,2026-01-23,0.12,USD,NYQ
FSSL,13.1175,15.0,13.03,,,2026-01-23,0.138,USD,NYQ
IPO,43.585,54.68,31.2,,,2025-09-12,0.176,USD,PCX
GLDI,180.41,182.99,153.071,,2018-12-26,2026-01-21,3.467,USD,NGM
