ticker,price,52w_high,52w_low,ex_dividend_date,dividend_payment_date,last_dividend_date,last_dividend_per_share,currency,exchange
SIMO,136.59,144.68,37.21,2026-05-07,2026-02-26,2026-02-11,0.5,USD,NMS
GGN,5.635,5.77,3.68,2026-03-17,2019-03-22,2026-02-12,0.03,USD,ASE
GGT,4.0824,4.94,3.75,2026-03-17,2018-12-14,2026-02-12,0.07,USD,NYQ
GUT,6.075,6.2,4.71,2026-03-17,2019-03-22,2026-02-12,0.05,USD,NYQ
GNT,8.59,8.79,5.02,2026-03-17,2019-03-22,2026-02-12,0.06,USD,NYQ
PGZ,10.48,10.76,9.24,2026-03-17,2019-04-30,2026-02-12,0.105,USD,NYQ
GLU,21.41,21.69,14.07,2026-03-17,2019-03-22,2026-02-12,0.11,USD,NYQ
GDV,29.165,29.46,20.1,2026-03-17,2019-03-22,2026-02-12,0.15,USD,NYQ
GROW,3.25,3.65,2.02,2026-03-16,2026-03-30,2026-02-09,0.008,USD,NCM
ECC,4.5,8.86,4.465,2026-03-11,2019-03-29,2026-02-09,0.14,USD,NYQ
EIC,10.188,16.11,9.91,2026-03-11,,2026-01-12,0.11,USD,NYQ
TSI,4.71,5.06,4.58,2026-03-03,2019-01-11,2026-02-12,0.022,USD,NYQ
TLF,3.1,5.48,2.56,2026-02-25,2026-02-24,2025-02-19,1.5,USD,NCM
TROX,7.8,9.01,2.86,2026-02-23,2026-01-06,2025-11-10,0.05,USD,NYQ
DLNG,3.975,4.4,3.18,2026-02-23,2025-11-14,2025-05-19,0.049,USD,NYQ
BTU,34.435,39.95,9.61,2026-02-23,2026-03-10,2025-11-13,0.075,USD,NYQ
DX,14.09,14.93,10.79,2026-02-23,2026-02-02,2026-01-21,0.17,USD,NYQ
MEGI,15.35,15.38,11.4,2026-02-23,,2026-01-26,0.125,USD,NYQ
RDN,32.79,38.84,29.32,2026-02-23,2025-12-09,2025-11-24,0.255,USD,NYQ
MCHP,78.67,83.35,34.13,2026-02-23,2026-03-10,2025-11-24,0.455,USD,NMS
NTB,52.91,55.84,34.855,2026-02-23,2026-03-09,2025-08-11,0.5,USD,NYQ
IP,49.1,57.55,35.56,2026-02-23,2026-03-17,2025-11-14,0.463,USD,NYQ
HCC,86.32,105.345,38.0,2026-02-23,2025-11-14,2025-11-07,0.08,USD,NYQ
BC,87.3,89.61,41.0,2026-02-23,2025-12-15,2025-11-26,0.43,USD,NYQ
CNA,48.75,51.34,43.29,2026-02-23,2026-03-12,2025-11-17,0.46,USD,NYQ
IRMD,100.635,107.9,47.478,2026-02-23,2025-12-30,2025-12-17,0.5,USD,NGM
MKSI,262.235,266.08,54.84,2026-02-23,2025-12-05,2025-11-24,0.22,USD,NMS
BCC,86.93,122.99,65.14,2026-02-23,2026-03-18,2025-12-01,0.22,USD,NYQ
DAC,107.305,107.6,65.4,2026-02-23,2026-03-04,2025-05-27,0.85,USD,NYQ
AWR,74.805,82.94,69.45,2026-02-23,2025-12-02,2025-11-14,0.504,USD,NYQ
PATK,143.33,148.5,72.99,2026-02-23,2026-03-09,2025-12-01,0.47,USD,NMS
AEIS,315.675,325.69,75.01,2026-02-23,2025-12-05,2025-11-24,0.1,USD,NMS
PSX,159.19,163.79,91.01,2026-02-23,2025-12-01,2025-11-17,1.2,USD,NYQ
ATO,178.79,180.65,141.59,2026-02-23,2026-03-09,2025-11-24,1.0,USD,NYQ
ROK,396.27,438.72,215.0,2026-02-23,2025-12-10,2025-11-17,1.38,USD,NYQ
PRI,252.32,296.0,230.09,2026-02-23,2025-12-15,2025-11-21,1.04,USD,NYQ
NOC,699.315,715.61,426.24,2026-02-23,2025-12-17,2025-12-01,2.31,USD,NYQ
FCO,3.135,6.77,2.73,2026-02-20,2019-01-31,2026-01-23,0.07,USD,ASE
HIO,3.8001,4.15,3.36,2026-02-20,2019-03-01,2026-01-23,0.036,USD,NYQ
HIX,4.25,4.42,3.65,2026-02-20,2019-03-01,2026-01-23,0.049,USD,NYQ
HFRO,6.42,6.83,4.24,2026-02-20,2019-01-31,2026-01-23,0.039,USD,NYQ
ACP,5.665,6.28,4.92,2026-02-20,2019-01-31,2026-01-23,0.078,USD,NYQ
FSCO,5.765,7.65,5.29,2026-02-20,,2026-01-23,0.068,USD,NYQ
FTF,6.195,6.71,5.57,2026-02-20,2019-02-15,2026-01-23,0.062,USD,ASE
EHI,6.54,6.84,6.11,2026-02-20,2019-03-01,2026-01-23,0.07,USD,NYQ
HGLB,8.76,10.64,6.62,2026-02-20,,2026-01-23,0.085,USD,NYQ
FT,8.2712,8.3479,6.71,2026-02-20,2019-02-15,2026-01-23,0.043,USD,NYQ
AOD,10.335,10.39,6.99,2026-02-20,2019-01-31,2026-01-23,0.1,USD,NYQ
AUDC,7.36,12.1,7.2,2026-02-20,2026-03-06,2025-08-14,0.2,USD,NMS
AOMR,9.2,10.855,7.36,2026-02-20,2026-02-27,2025-11-18,0.32,USD,NYQ
BWG,8.54,8.94,7.46,2026-02-20,2019-03-01,2026-01-23,0.08,USD,NYQ
EMD,11.22,11.23,8.56,2026-02-20,2019-03-01,2026-01-23,0.095,USD,NYQ
AWP,12.3498,12.39,9.81,2026-02-20,2019-01-31,2026-01-23,0.12,USD,NYQ
IAF,14.235,14.54,10.05,2026-02-20,2019-01-10,2025-11-21,0.38,USD,ASE
GDO,11.55,12.15,10.29,2026-02-20,2019-03-01,2026-01-23,0.122,USD,NYQ
BGB,11.655,12.65,10.47,2026-02-20,2019-02-28,2025-12-31,0.077,USD,NYQ
HQL,16.91,17.8,10.55,2026-02-20,2018-12-31,2025-11-21,0.5,USD,NYQ
BGX,11.28,13.0,10.71,2026-02-20,2019-02-28,2025-12-31,0.092,USD,NYQ
DMO,11.27,12.15,10.81,2026-02-20,2019-03-01,2026-01-23,0.12,USD,NYQ
HYI,11.2097,12.22,10.87,2026-02-20,2019-03-01,2026-01-23,0.095,USD,NYQ
ARDC,13.24,15.37,11.52,2026-02-20,,2026-01-20,0.113,USD,NYQ
BCS,25.09,27.7,12.14,2026-02-20,2025-09-16,2025-08-08,0.16,USD,NYQ
BSL,13.215,14.54,13.2,2026-02-20,2019-02-28,2025-12-31,0.095,USD,NYQ
IFN,13.97,16.95,13.46,2026-02-20,2019-01-10,2025-11-21,0.4,USD,NYQ
HQH,19.805,19.89,13.77,2026-02-20,2018-12-31,2025-11-21,0.57,USD,NYQ
FAX,16.056,16.9,13.99,2026-02-20,2019-01-31,2026-01-23,0.165,USD,ASE
FFC,16.87,17.0,14.2,2026-02-20,2019-04-30,2026-01-23,0.101,USD,NYQ
BBWI,23.95,41.87,14.28,2026-02-20,2026-03-06,2025-11-21,0.2,USD,NYQ
FLC,18.01,18.08,14.8,2026-02-20,2019-04-30,2026-01-23,0.104,USD,NYQ
IGI,16.64,17.09,15.7,2026-02-20,2019-03-01,2026-01-23,0.071,USD,NYQ
ASGI,25.45,25.95,16.65,2026-02-20,,2026-01-23,0.21,USD,NYQ
DFP,21.8889,22.11,18.2,2026-02-20,2019-04-30,2026-01-23,0.127,USD,NYQ
GOLD,60.56,66.7,19.39,2026-02-20,2026-03-04,2025-11-19,0.2,USD,NYQ
CBC,24.435,25.425,22.5,2026-02-20,2025-12-01,,,USD,NMS
BP,37.635,39.51,25.22,2026-02-20,2025-12-19,2025-11-14,0.499,USD,NYQ
BHB,35.1,36.05,26.43,2026-02-20,2026-03-20,2025-11-20,0.32,USD,ASE
ATMU,64.605,65.88,30.94,2026-02-20,2026-03-04,2025-11-25,0.055,USD,NYQ
AB,41.04,44.11,32.28,2026-02-20,2026-03-12,2025-11-03,0.86,USD,NYQ
GSK,58.88,60.37,32.38,2026-02-20,2026-04-09,2025-11-14,0.417,USD,NYQ
EMO,50.5,50.99,39.65,2026-02-20,2019-02-28,2026-01-23,0.36,USD,NYQ
FBIN,51.87,70.05,44.04,2026-02-20,2026-03-11,2025-11-21,0.25,USD,NYQ
HCI,158.62,210.5,115.65,2026-02-20,2026-03-20,2025-11-21,0.4,USD,NYQ
AZN,204.865,206.71,122.26,2026-02-20,2025-09-08,2025-08-07,1.025,USD,NYQ
CMI,597.335,617.98,260.02,2026-02-20,2025-12-04,2025-11-21,2.0,USD,NYQ
CIF,1.71,1.82,1.52,2026-02-17,2019-02-28,2026-01-20,0.015,USD,NYQ
DHY,2.005,2.18,1.82,2026-02-17,2019-01-24,2026-01-16,0.016,USD,ASE
NHTC,3.73,6.0,2.4,2026-02-17,2026-02-27,2025-11-18,0.2,USD,NCM
CIK,2.805,3.04,2.56,2026-02-17,,2026-01-16,0.023,USD,ASE
MIN,2.5933,2.73,2.57,2026-02-17,2019-02-28,2026-01-20,0.019,USD,NYQ
NRO,3.115,3.43,2.75,2026-02-17,2019-02-28,2026-01-15,0.031,USD,ASE
MGF,3.0498,3.17,2.96,2026-02-17,2019-02-28,2026-01-20,0.019,USD,NYQ
CMU,3.58,3.63,3.18,2026-02-17,2019-02-28,2026-01-20,0.017,USD,NYQ
VVR,3.295,4.21,3.21,2026-02-17,2019-02-28,2026-01-15,0.038,USD,NYQ
CXE,3.8305,3.85,3.38,2026-02-17,2019-02-28,2026-01-20,0.018,USD,NYQ
CCIF,3.93,7.9,3.765,2026-02-17,,2026-01-20,0.105,USD,NYQ
XFLT,4.0716,6.6,4.035,2026-02-17,2019-03-01,2026-01-15,0.06,USD,NYQ
MMT,4.7701,4.87,4.31,2026-02-17,2019-02-28,2026-01-20,0.034,USD,NYQ
MFM,5.56,5.61,4.94,2026-02-17,2019-02-28,2026-01-20,0.024,USD,NYQ
PNNT,5.1945,7.53,5.08,2026-02-17,2022-04-01,2026-01-16,0.08,USD,NYQ
MCN,6.18,6.51,5.16,2026-02-17,2018-12-31,2026-01-15,0.06,USD,NYQ
OIA,6.34,6.37,5.43,2026-02-17,2019-02-28,2026-01-15,0.029,USD,NYQ
MCR,6.3106,6.58,5.57,2026-02-17,2019-02-28,2026-01-20,0.045,USD,NYQ
CRF,7.56,8.843137,5.696078,2026-02-17,2019-03-29,2026-01-15,0.118,USD,ASE
HRZN,6.705,9.99,5.71,2026-02-17,2026-03-13,2026-01-16,0.11,USD,NMS
PCF,6.13,6.89,5.73,2026-02-17,2018-12-31,2026-01-20,0.058,USD,NYQ
