ticker,price,52w_high,52w_low,ex_dividend_date,dividend_payment_date,last_dividend_date,last_dividend_per_share,currency,exchange
AAPL,278.12,288.62,169.21,2026-02-09,2026-02-12,2025-11-10,0.26,USD,NMS
ACV,27.33,29.042,17.0,2026-02-12,2018-03-01,2026-01-12,0.18,USD,NYQ
ADM,66.33,69.75,40.98,2026-02-17,2026-03-10,2025-11-19,0.51,USD,NYQ
AIO,22.58,25.69,16.177,2026-02-12,2021-02-01,2026-01-12,0.15,USD,NYQ
AIZ,243.31,246.31,174.97,2026-02-17,2026-03-30,2025-12-01,0.88,USD,NYQ
ALX,255.07,260.84,189.05,2026-02-17,2026-02-27,2025-11-10,4.5,USD,NYQ
AMP,542.99,552.43,396.14,2026-02-09,2026-02-27,2025-11-10,1.6,USD,NYQ
AROW,36.05,36.44,22.72,2026-02-11,2026-02-25,2025-11-12,0.29,USD,NMS
ARR,17.69,19.31,13.18,2026-02-17,2026-02-27,2026-01-15,0.24,USD,NYQ
BCBP,8.28,10.64,7.31,2026-02-11,2026-02-26,2025-11-10,0.16,USD,NGM
BG,115.86,121.64,67.81,2026-02-17,2026-03-03,2025-11-17,0.7,USD,NYQ
BKH,72.3,75.87,54.92,2026-02-17,2026-03-01,2025-11-17,0.676,USD,NYQ
BKR,58.92,59.54,33.6,2026-02-17,2026-02-27,2025-11-04,0.23,USD,NMS
BOTJ,20.45,21.49,12.75,2026-02-17,2026-03-06,2025-11-21,0.1,USD,NCM
BSRR,37.88,38.57,22.42,2026-02-09,2026-02-17,2025-11-03,0.25,USD,NMS
BX,129.69,190.09,115.66,2026-02-09,2026-02-17,2025-11-03,1.29,USD,NYQ
CBAN,21.07,21.46,13.99,2026-02-11,2026-02-25,2025-11-05,0.115,USD,NYQ
CBNK,32.81,36.4,24.69,2026-02-09,2026-02-25,2025-11-10,0.12,USD,NMS
CCIF,4.18,7.9,3.765,2026-02-17,,2026-01-20,0.105,USD,NYQ
CIF,1.71,1.82,1.52,2026-02-17,2019-02-28,2026-01-20,0.015,USD,NYQ
CIK,2.82,3.04,2.56,2026-02-17,,2026-01-16,0.023,USD,ASE
CLM,8.14,8.956693,6.062992,2026-02-17,,2026-01-15,0.122,USD,ASE
CMS,72.84,76.45,67.71,2026-02-17,2026-02-27,2025-11-07,0.543,USD,NYQ
CMU,3.56,3.63,3.18,2026-02-17,2019-02-28,2026-01-20,0.017,USD,NYQ
CQP,57.65,68.42,49.53,2026-02-09,2026-02-13,2025-11-07,0.83,USD,NYQ
CRF,7.79,8.941176,5.696078,2026-02-17,2019-03-29,2026-01-15,0.118,USD,NYQ
CSL,403.86,435.92,293.43,2026-02-17,2026-03-02,2025-11-14,1.1,USD,NYQ
CVX,180.86,182.59,132.04,2026-02-17,2026-03-10,2025-11-18,1.71,USD,NYQ
CWT,44.47,51.63,41.29,2026-02-09,2026-02-20,2025-11-10,0.3,USD,NYQ
CXE,3.8,3.85,3.38,2026-02-17,2019-02-28,2026-01-20,0.018,USD,NYQ
CXH,8.13,8.21,7.34,2026-02-17,2019-02-28,2026-01-20,0.034,USD,NYQ
DHY,2.0,2.18,1.82,2026-02-17,2019-01-24,2026-01-16,0.016,USD,ASE
DLX,27.8,28.6,13.61,2026-02-09,2026-02-23,2025-11-17,0.3,USD,NYQ
DMA,8.86,9.15,7.17,2026-02-17,,2025-08-18,0.083,USD,NYQ
DSM,6.21,6.3,5.28,2026-02-12,2019-02-28,2026-01-14,0.023,USD,NYQ
DTF,11.46,11.5,10.95,2026-02-17,2019-03-29,2026-01-15,0.033,USD,NYQ
EAD,6.85,7.18,5.89,2026-02-12,2019-03-01,2026-01-12,0.054,USD,ASE
ECC,5.15,8.86,4.94,2026-02-09,2019-03-29,2026-01-12,0.14,USD,NYQ
EDF,5.05,5.28,4.14,2026-02-12,,2026-01-12,0.06,USD,NYQ
EFR,11.01,13.16,10.4,2026-02-17,2019-01-10,2026-01-15,0.077,USD,NYQ
EFT,11.25,13.39,10.44,2026-02-17,2019-01-10,2025-12-30,0.086,USD,NYQ
EIC,10.37,16.23,10.23,2026-02-09,,2026-01-12,0.11,USD,NYQ
EIM,9.97,10.54,9.27,2026-02-17,2019-01-31,2026-01-15,0.051,USD,ASE
ENB,50.32,50.95,39.73,2026-02-17,2026-03-01,2025-08-15,0.683,USD,NYQ
EOI,20.53,21.58,15.5,2026-02-17,2019-01-31,2026-01-15,0.134,USD,NYQ
EOS,22.17,24.69,17.56,2026-02-17,2019-01-31,2026-01-15,0.152,USD,NYQ
EOT,17.31,17.98,15.41,2026-02-17,2019-01-31,2026-01-15,0.068,USD,NYQ
EQNR,27.52,28.27,21.41,2026-02-17,2026-05-27,2025-11-14,0.37,USD,NYQ
EQT,56.79,62.23,43.57,2025-11-05,2026-03-02,2025-11-05,0.165,USD,NYQ
ERC,9.42,9.78,8.44,2026-02-12,2019-03-01,2026-01-12,0.072,USD,ASE
