ticker_yf,Symbol,Company Name,exchange,market,Currency,last_close,max_drawdown,EMA_20,EMA_52,EMA_200,MACD,MACD_signal,RSI_14,dividend_ttm,payments_ttm,div_freq,last_div_date,div_yield_ttm,next_earnings_date,eps_estimate,reported_eps,surprise_pct
SPE,SPE,"Special Opportunities Fund, Inc Common Stock",NYSE,NYSE,USD,15.039999961853027,-0.14322412241135918,14.968700946826305,15.041717427651108,15.21588592279592,-0.007448586643468147,-0.02865465333694961,55.17241757302179,2.019,13.0,Monthly,2026-01-20,0.1342420216170829,,,,
TWO,TWO,Two Harbors Investment Corp,NYSE,NYSE,USD,11.399999618530273,-0.3356840709759653,11.746132676199299,11.465920237584266,11.079953104970507,-0.20808303072579015,0.022058053707029797,32.98790216780621,1.52,4.0,Quarterly,2026-01-05,0.13333333779496773,,0.53,0.26,-50.82
NREF,NREF,"NexPoint Real Estate Finance, Inc. Common Stock",NYSE,NYSE,USD,15.079999923706055,-0.23234758592047478,14.764816169088986,14.534283471486503,14.474804173114137,0.14018261806653953,0.1361811037262994,67.90126509251246,2.0,4.0,Quarterly,2025-12-15,0.1326259953659523,,0.4,0.48,20.0
AIO,AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,22.59000015258789,-0.30422753923610646,22.653726424945198,22.818955695306144,23.369734871165168,-0.04783643354547351,-0.05429964142691417,49.36707332678235,2.991,13.0,Monthly,2026-02-12,0.13240371756515254,,,,
MHNC,MHNC,"Maiden Holdings North America, Ltd. 7.75% Notes due 2043",NYSE,NYSE,USD,14.90999984741211,-0.18076927349512817,15.52357745124419,15.873981917833957,16.65197441051607,-0.1224606473716996,-0.1116507100337817,33.139530370657866,1.936,4.0,Quarterly,2026-02-13,0.12984574244217895,,,,
KBDC,KBDC,"Kayne Anderson BDC, Inc. Common Stock",NYSE,NYSE,USD,13.970000267028809,-0.26674105539176696,14.236960041697774,14.479056557022783,15.071842518629877,-0.1695556947410406,-0.1752070792643171,41.74755933157536,1.8,6.0,Irregular,2025-12-31,0.12884752795948448,,0.52,0.52,
NCDL,NCDL,Nuveen Churchill Direct Lending Corp. Common Stock,NYSE,NYSE,USD,14.050000190734863,-0.2661426116369261,13.715539355899475,13.843459149902557,14.876907221236072,0.0748266847324679,-0.032498114065017215,65.4545604296045,1.8,4.0,Quarterly,2025-12-31,0.1281138772643571,,0.62,0.66,6.45
FRA,FRA,Blackrock Floating Rate Income Strategies Fund Inc  Common Stock,NYSE,NYSE,USD,11.630000114440918,-0.14209725738916434,11.774834067046333,11.89534718524169,12.406459665767438,-0.05873329078258038,-0.04734301003965222,29.310361837237366,1.488,12.0,Monthly,2026-02-13,0.12794496864641963,,,,
JQC,JQC,Nuveen Credit Strategies Income Fund Shares of Beneficial Interest,NYSE,NYSE,USD,5.079999923706055,-0.13595710342333245,5.087154232287426,5.092017262963512,5.21716297106797,-0.0025205391779330455,0.0004056028941793684,45.4545060464498,0.648,12.0,Monthly,2026-02-13,0.12755905703385506,,,,
RIV,RIV,"RiverNorth Opportunities Fund, Inc. Common Stock",NYSE,NYSE,USD,11.920000076293945,-0.16103060472822117,11.994299028860798,11.89212902454492,11.810370290431978,0.05082677658974788,0.06277016886261338,45.52242842461562,1.519632,12.0,Monthly,2026-02-13,0.1274859052242951,,,,
