_STATE,q05,q25,median,q75,q95,mean_bin,State,p_lowest,p_highest
51.0,1.0,3.0549423524362425,4.477341246543148,5.396771295193201,6.527792673484663,4.6675311987341646,Virginia,0.05043975636421215,0.10588569298358001
9.0,1.0005733191995907,3.0242162328753013,4.537188098771417,5.493434176846284,6.608106965547066,4.7104715164035404,Connecticut,0.04994801734135187,0.12758583491997466
27.0,1.113491998656081,3.3198628113127273,4.486084670147817,5.31997382199614,6.383677497816224,4.71241819022983,Minnesota,0.04248507128158884,0.0811263580720131
8.0,1.1274018155370122,3.2461625420621565,4.511053257326585,5.399820320961372,6.478174404841836,4.724568894361671,Colorado,0.039866397416069274,0.09581745407648154
34.0,1.0,3.127703205024156,4.599635230356983,5.529030374865764,6.601094007039919,4.737335450654782,New Jersey,0.056765233054312435,0.1253428148044985
53.0,1.036287432978699,3.274997137378504,4.550428565875007,5.432558504129414,6.495202098109343,4.744866474183462,Washington,0.04739343070900787,0.09904954004905997
24.0,1.0889011717196062,3.1747123012751683,4.581835007724656,5.493129859881848,6.546699932486738,4.755063213602348,Maryland,0.04251632180530866,0.11030221167689808
33.0,1.0965538953347334,3.38746868151226,4.555984141336579,5.388063084315193,6.422762363025535,4.755418558206641,New Hampshire,0.042783870511718794,0.08661943850728478
25.0,1.0330003604491065,3.338324722400497,4.620033381086563,5.5344826760074675,6.604687437569689,4.81510025938352,Massachusetts,0.047622233088750084,0.12648219346384798
49.0,1.4016624259570163,3.5367390614117147,4.561216203149465,5.351694497686576,6.339025572657072,4.819138503170671,Utah,0.031179867097019313,0.07564589177980248
11.0,1.0,3.304598812511829,4.856886314824244,5.776901308547062,6.733685706542726,4.917349950814897,District of Columbia,0.07122560383524912,0.18774809023918076
