Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/06  07:00:00,1337.776598,121.8858269,492.716856,0,243.2593065,310.1097119,327.4874998,267.6088286,42.48502471,17.39364651
 06/06  08:00:00,1373.594723,123.0183636,485.8297873,0,243.2593065,310.1097119,322.8082186,248.7197684,56.64669961,17.44175054
 06/06  09:00:00,1404.221523,123.9782833,481.9696401,0,243.2593065,302.6124365,297.3301213,237.3674983,42.48502471,17.47759831
 06/06  10:00:00,1407.550617,125.2361719,476.1749404,0,243.2593065,310.1097119,315.4212767,227.0851752,70.80837451,17.52772692
 06/06  11:00:00,1403.615496,126.9055408,469.0764064,0,243.2593065,310.1097119,313.0805678,215.9591398,70.80837451,26.31305353
 06/06  12:00:00,1361.442325,128.9017944,462.1592543,0,243.2593065,310.1097119,293.8634667,205.5577062,70.80837451,17.49738595
 06/06  13:00:00,1384.386923,131.4338312,451.6233116,0,243.2593065,302.6124365,269.7311443,186.7711143,56.64669961,26.31333038
 06/06  14:00:00,1383.192609,134.7515975,449.6285501,0,243.2593065,302.6124365,208.0841182,148.0693389,42.48502471,17.52975461
 06/06  15:00:00,1395.842079,139.8580045,453.4146412,0,243.2593065,302.6124365,181.9321197,99.02837736,56.64669961,26.25704271
 06/06  16:00:00,1427.839319,153.433981,461.004427,0,243.2593065,310.1097119,168.4677323,66.0383916,84.97004941,17.4592913
 06/06  17:00:00,1444.950102,170.501117,460.2261367,0,243.2593065,310.1097119,132.4427582,38.78113519,84.97004941,8.691573649
 06/06  18:00:00,1115.145195,101.649791,465.3450914,0,166.9389264,199.1109338,139.682987,46.03716285,84.97004941,8.675774728
 06/06  19:00:00,1088.509847,102.0864948,453.5097192,0,166.9389264,191.6136585,133.2324127,67.90932733,56.64669961,8.676385733
 06/06  20:00:00,964.5877533,101.5141472,450.8229994,0,100.1506573,124.5586935,222.9036561,157.5817857,56.64669961,8.6751707
 06/06  21:00:00,960.9921609,101.3999167,465.8414064,0,100.1506573,124.5586935,252.78109,201.6323233,42.48502471,8.663741996
 06/06  22:00:00,922.2561092,101.2948118,489.5391133,0,46.09303362,124.5586935,268.9015628,231.9150535,28.3233498,8.663159533
 06/06  23:00:00,919.1453191,101.2532057,495.4604105,0,46.09303362,124.5586935,270.0785914,247.2544067,14.1616749,8.662509822
 06/06  00:00:00,908.4503392,101.2470396,501.0700836,0,46.09303362,113.3127805,277.0578039,262.72975,5.664669961,8.663383926
 06/07  01:00:00,912.2276827,101.2470396,506.8433541,0,46.09303362,113.3127805,292.5665979,278.2394668,5.664669961,8.662461139
 06/07  02:00:00,919.1335336,101.2470396,510.9148032,0,46.09303362,113.3127805,307.8929978,293.5665658,5.664669961,8.661762073
 06/07  03:00:00,915.9767384,101.2470396,514.0917622,0,46.09303362,113.3127805,312.8660507,307.1813808,5.664669961,0.02
 06/07  04:00:00,1007.288283,101.2470396,517.1905051,0,100.1506573,148.9693994,312.7040496,298.3768331,5.664669961,8.662546597
 06/07  05:00:00,1002.792886,113.7472572,501.7856962,0,100.1506573,149.8943994,409.2975284,386.4726559,14.1616749,8.663197576
 06/07  06:00:00,1219.4696,118.7083939,497.2237172,0,176.4710373,302.6124365,325.829039,288.8429979,28.3233498,8.662691284
 06/07  07:00:00,1335.571783,124.3270379,485.0838996,0,243.2593065,310.1097119,321.1602296,261.2827059,42.48502471,17.39249905
 06/07  08:00:00,1377.07776,125.50561,476.2045073,0,243.2593065,310.1097119,308.6873894,243.3126294,56.64669961,8.728060368
 06/07  09:00:00,1415.398602,126.6037976,466.2706413,0,243.2593065,302.6124365,297.6188399,228.9307541,42.48502471,26.2030611
 06/07  10:00:00,1426.084809,127.7867374,461.3554022,0,243.2593065,310.1097119,307.597826,219.2608862,70.80837451,17.52856528
 06/07  11:00:00,1430.662874,129.5710832,455.3479919,0,243.2593065,310.1097119,302.4025885,205.2875056,70.80837451,26.3067084
 06/07  12:00:00,1397.99732,131.671722,443.9639687,0,243.2593065,310.1097119,277.7563907,189.4527411,70.80837451,17.4952751
 06/07  13:00:00,1448.024928,133.9388866,438.0838626,0,243.2593065,302.6124365,236.4776028,162.2842391,56.64669961,17.54666403
 06/07  14:00:00,1462.033416,137.9173077,438.9075009,0,243.2593065,302.6124365,182.8007352,114.0349277,42.48502471,26.28078281
 06/07  15:00:00,1466.062342,146.9458314,441.9528559,0,243.2593065,302.6124365,154.4687771,80.30886508,56.64669961,17.51321241
 06/07  16:00:00,1495.260725,167.8272198,447.780284,0,243.2593065,310.1097119,148.0452815,45.61484026,84.97004941,17.46039184
 06/07  17:00:00,1508.349731,177.747836,447.287647,0,243.2593065,310.1097119,116.8873987,23.22563141,84.97004941,8.691717822
 06/07  18:00:00,1183.187795,101.8024128,453.9206364,0,166.9389264,199.1109338,127.2070754,33.56058475,84.97004941,8.676441211
 06/07  19:00:00,1180.203583,102.2031315,457.0696506,0,166.9389264,191.6136585,123.1818488,49.2046424,56.64669961,17.33050679
 06/07  20:00:00,1014.275615,101.5648277,438.7075838,0,100.1506573,124.5586935,184.6254379,119.3035716,56.64669961,8.675166656
 06/07  21:00:00,989.2156138,101.4252427,451.310866,0,100.1506573,124.5586935,236.3166879,185.1684058,42.48502471,8.663257386
 06/07  22:00:00,950.0096255,101.3118959,476.8775751,0,46.09303362,124.5586935,250.0416217,221.6982719,28.3233498,0.02
 06/07  23:00:00,964.635805,101.2565032,486.4869315,0,46.09303362,124.5586935,262.6313267,239.8071019,14.1616749,8.662549868
 06/07  00:00:00,952.3683394,101.2470396,488.0181828,0,46.09303362,113.3127805,268.2577131,253.9302749,5.664669961,8.662768271
 06/08  01:00:00,960.7047467,101.2470396,491.9510012,0,46.09303362,113.3127805,283.4109214,269.0837399,5.664669961,8.662511451
 06/08  02:00:00,962.2623787,101.2470396,497.6768534,0,46.09303362,113.3127805,300.8675721,286.5411689,5.664669961,8.66173324
 06/08  03:00:00,963.4242581,101.2470396,503.0291576,0,46.09303362,113.3127805,316.6195694,302.2924121,5.664669961,8.662487382
 06/08  04:00:00,1048.226884,101.2470396,505.6379003,0,100.1506573,148.9693994,308.6536124,294.3271665,5.664669961,8.661775976
 06/08  05:00:00,1047.98461,114.6241789,489.0286812,0,100.1506573,149.8943994,400.4106835,377.5864446,14.1616749,8.662564013
 06/08  06:00:00,1270.7208,120.1880282,482.1440851,0,176.4710373,302.6124365,319.7089277,282.723725,28.3233498,8.661852879
 06/08  07:00:00,1374.498683,125.8471857,474.6386026,0,243.2593065,310.1097119,308.271009,257.0805149,42.48502471,8.705469372
 06/08  08:00:00,1406.825542,126.7309927,470.254803,0,243.2593065,310.1097119,316.9596295,242.8755978,56.64669961,17.43733209
 06/08  09:00:00,1447.046696,127.6055093,461.2015235,0,243.2593065,302.6124365,291.3901619,231.4296387,42.48502471,17.47549849
 06/08  10:00:00,1457.529588,128.80338,452.4555876,0,243.2593065,310.1097119,307.9228541,219.5899043,70.80837451,17.5245753
 06/08  11:00:00,1468.855365,130.3710034,447.0342032,0,243.2593065,310.1097119,303.8517047,206.735496,70.80837451,26.30783417
 06/08  12:00:00,1422.399896,132.1344172,441.2610131,0,243.2593065,310.1097119,285.3165775,197.0153596,70.80837451,17.49284342
 06/08  13:00:00,1434.653733,134.3719691,436.3707305,0,243.2593065,302.6124365,266.3613415,183.4075371,56.64669961,26.3071048
 06/08  14:00:00,1437.388357,137.4801697,437.4390894,0,243.2593065,302.6124365,207.9675607,147.9569448,42.48502471,17.52559124
 06/08  15:00:00,1446.989737,141.1862584,439.413965,0,243.2593065,302.6124365,183.0381705,108.8833615,56.64669961,17.50810942
 06/08  16:00:00,1466.583005,145.7267634,438.9699062,0,243.2593065,310.1097119,192.2394957,89.80724943,84.97004941,17.46219683
 06/08  17:00:00,1469.460504,149.0734147,437.30964,0,243.2593065,310.1097119,184.3861101,82.05315203,84.97004941,17.36290871
 06/08  18:00:00,1163.466967,101.5539306,442.4193305,0,166.9389264,199.1109338,203.885899,110.2415532,84.97004941,8.674296393
